bool apache_child_terminate ();このリクエストの後にApacheプロセスを終了する
boolean CachingIterator::valid ();現在の要素が有効かどうかをチェックする
CachingRecursiveIterator CachingRecursiveIterator::getChildren ();内部イテレータの子を CachingRecursiveIterator として返す
bolean CachingRecursiveIterator::hasChildren ();内部イテレータの現在の要素が子を持つかどうかチェックする
array class_implements ( mixed class , [ bool autoload ] );与えられたクラスが実装しているインターフェースを返す
array class_parents ( mixed class , [ bool autoload ] );与えられたクラスの親クラスを返す
DirectoryIterator DirectoryIterator::__construct ( string path );パスから新規ディレクトリイテレータを生成する
DirectoryIterator DirectoryIterator::current ();これ自身を返す (Iterator インターフェースが必要)
int DirectoryIterator::getATime ();ファイルの最終アクセス時刻を取得する
RecursiveDirectoryIterator DirectoryIterator::getChildren ();もしディレクトリであれば現在のエントリのイテレータを返す
int DirectoryIterator::getCTime ();ファイルの inode 修正時刻を取得する
string DirectoryIterator::getFilename ();現在のディレクトリエントリのファイル名を返す
int DirectoryIterator::getGroup ();ファイルのグループを取得する
int DirectoryIterator::getInode ();ファイルの inode を取得する
int DirectoryIterator::getMTime ();ファイルの最終修正時刻を取得する
int DirectoryIterator::getOwner ();ファイルの所有者を取得する
string DirectoryIterator::getPath ();ディレクトリパスを返す
string DirectoryIterator::getPathname ();現在のディレクトリエントリのパスとファイル名を返す
int DirectoryIterator::getPerms ();ファイルのパーミッションを取得する
int DirectoryIterator::getSize ();ファイルサイズを取得する
string DirectoryIterator::getType ();ファイルタイプを取得する
bool DirectoryIterator::isDir ();ファイルがディレクトリであれば true を返す
bool DirectoryIterator::isDot ();現在のエントリが '.' もしくは '..' の場合 true を返す
bool DirectoryIterator::isExecutable ();ファイルが実行可能な場合 true を返す
bool DirectoryIterator::isFile ();ファイルが通常のファイルの場合 true を返す
bool DirectoryIterator::isLink ();ファイルがシンボリックリンクの場合 true を返す
bool DirectoryIterator::isReadable ();ファイルが読込可能であれば true を返す
bool DirectoryIterator::isWritable ();ファイルが書き込み可能であれば true を返す
string DirectoryIterator::key ();現在のディレクトリエントリを返す
void DirectoryIterator::next ();次のエントリに移動する
void DirectoryIterator::rewind ();ディレクトリを最初に巻き戻す
string DirectoryIterator::valid ();ディレクトリがまだエントリを持っているかどうかチェックする
mixed FilterIterator::current ();現在の要素の値を取得する
Iterator FilterIterator::getInnerIterator ();内部イテレータを取得する
mixed FilterIterator::key ();現在のキーを取得する
void FilterIterator::next ();イテレータを前に移動する
void FilterIterator::rewind ();イテレータを巻き戻す
boolean FilterIterator::valid ();現在の要素が有効かどうかをチェックする
int iterator_count ( IteratorAggregate iterator );イテレータにある要素をカウントする
array iterator_to_array ( IteratorAggregate iterator );イテレータを配列にコピーする
int LimitIterator::getPosition ();現在の位置を返す
void LimitIterator::next ();イテレータを前に移動する
void LimitIterator::rewind ();イテレータを指定したオフセットに巻き戻す
void LimitIterator::seek ( int position );与えられた位置を検索する
boolean LimitIterator::valid ();現在の要素が有効かどうかをチェックする
ParentIterator ParentIterator::getChildren ();ParentIterator に含まれる内部イテレータの子を返す
boolean ParentIterator::hasChildren ();内部イテレータの現在の要素が子を持つかどうかをチェックする
void ParentIterator::next ();イテレータを前に移動する
void ParentIterator::rewind ();イテレータを巻き戻す
object RecursiveDirectoryIterator::getChildren ();ディレクトリであれば、現在のエントリに対するイテレータを返す
bool RecursiveDirectoryIterator::hasChildren ( [ bool allow_links ] );現在のエントリがディレクトリかつ '.' もしくは '..' でないかどうかを返す
string RecursiveDirectoryIterator::key ();現在のディレクトリエントリのパスとファイル名を返す
void RecursiveDirectoryIterator::next ();次のエントリに移動する
void RecursiveDirectoryIterator::rewind ();ディレクトリを最初に巻き戻す
mixed RecursiveIteratorIterator::current ();現在の要素の値にアクセスする
int RecursiveIteratorIterator::getDepth ();再帰的なイテレーションにおける現在の深さを取得する
RecursiveIterator RecursiveIteratorIterator::getSubIterator ();現在の有効なサブイテレータを取得する
mixed RecursiveIteratorIterator::key ();現在のキーにアクセスする
void RecursiveIteratorIterator::next ();次の要素に移動する
void RecursiveIteratorIterator::rewind ();トップレベルの内部イテレータの先頭要素にイテレータを巻き戻す
bolean RecursiveIteratorIterator::valid ();現在の位置が有効かどうかをチェックする
mixed SimpleXMLIterator::current ();現在の SimpleXML エントリを返す
object SimpleXMLIterator::getChildren ();SimpleXML である場合、現在のエントリに対するイテレータを返す
bool SimpleXMLIterator::hasChildren ();現在のエントリが SimpleXML オブジェクトかどうかを返す
mixed SimpleXMLIterator::key ();現在の SimpleXML のキーを返す
void SimpleXMLIterator::next ();次のエントリに移動する
void SimpleXMLIterator::rewind ();SimpleXML を最初に巻き戻す
bool SimpleXMLIterator::valid ();SimpleXML がまだエントリを持っているかどうかをチェックする
array spl_classes ();利用可能な SPL クラスを返す
array sqlite_array_query ( resource db , string query , [ int result_type ] , [ bool decode_binary ] );指定したデータベースに対してクエリを実行し、配列を返す
void sqlite_busy_timeout ( resource database , int milliseconds );ビジータイムアウト時間を設定またはビジーハンドラを無効にする
int sqlite_changes ( resource db );直近のSQLステートメントにより変更されたレコード数を返す
void sqlite_close ( resource database );オープンされたSQLiteデータベースを閉じる
mixed sqlite_column ( resource result , mixed index_or_name , [ bool decode_binary ] );カレントの結果セットのレコードからカラムを1列取得する
bool sqlite_create_aggregate ( resource db , string function_name , mixed step_func , mixed finalize_func , [ int num_args ] );SQLステートメントで使用する集約UDFを登録する
bool sqlite_create_function ( resource db , string function_name , mixed callback , [ int num_args ] );SQLステートメントで使用するために"通常の"ユーザ定義関数を登録する
array sqlite_current ( resource result , [ int result_type ] , [ bool decode_binary ] );結果セットからカレントのレコードを配列として取得する
string sqlite_error_string ( int error_code );エラーコードの説明を返す
string sqlite_escape_string ( string item );クエリパラメータ用に文字列をエスケープする
array sqlite_fetch_array ( resource result , [ int result_type ] , [ bool decode_binary ] );結果セットから次のレコードを配列として取得する
string sqlite_fetch_string ( resource result , [ int result_type ] , [ bool decode_binary ] );結果セットから文字列として先頭カラムを取得する
string sqlite_field_name ( resource result , int field_index );特定のフィールドの名前を返す
bool sqlite_has_more ( resource result );まだレコードがあるかないかを返す
int sqlite_last_error ( resource db );データベースに関する直近のエラーコードを返す
int sqlite_last_insert_rowid ( resource db );直近に挿入されたレコードのrowidを返す
string sqlite_libencoding ();リンクされているSQLiteライブラリのエンコーディングを返す
string sqlite_libversion ();リンクされているSQLiteライブラリのバージョンを返す
bool sqlite_next ( resource result );次の行番号へシークする
int sqlite_num_fields ( resource result );結果セットのフィールド数を返す
int sqlite_num_rows ( resource result );結果セットのレコード数を返す
resource sqlite_open ( string filename , [ int mode ] , [ string &errmessage ] );SQLiteデータベースをオープンする。データベースが存在しない場合は作成する
resource sqlite_popen ( string filename , [ int mode ] , [ string &errmessage ] );SQLiteデータベースへの持続的ハンドルをオープンする。存在しない場合には、データベースを作成する
resource sqlite_query ( resource db , string query );指定したデータベースに対してクエリを実行し、結果ハンドルを返す
bool sqlite_rewind ( resource result );先頭レコード番号へシークする
bool sqlite_seek ( resource result , int rownum );特定のレコード番号へシークする
string sqlite_udf_decode_binary ( string data );UDFにパラメータとして渡されたバイナリデータをデコードする
string sqlite_udf_encode_binary ( string data );UDFから返す前にバイナリデータをエンコードする
resource sqlite_unbuffered_query ( resource db , string query );事前取得していないクエリを実行し、全てのデータをバッファリングする
resource stream_context_create ( array options );ストリームコンテキストを作成する
array stream_context_get_options ( resource stream|context );ストリーム / ラッパ / コンテキストに設定されているオプションを取得する
bool stream_context_set_option ( resource context|stream , string wrapper , string option , mixed value );ストリーム / ラッパ / コンテキストのオプションを設定する
bool stream_context_set_params ( resource stream|context , array params );ストリーム / ラッパ / コンテキストのパラメータを設定する
int stream_copy_to_stream ( resource source , resource dest , [ int maxlength ] );データをあるストリームから別のストリームにコピーする
bool stream_filter_append ( resource stream , string filtername , [ int read_write ] , [ mixed params ] );ストリームにフィルタを付加する
bool stream_filter_prepend ( resource stream , string filtername , [ int read_write ] , [ string params ] );フィルタをストリームに付加する
bool stream_filter_register ( string filtername , string classname );php_user_filter に由来するクラスとして実装されたストリームフィルタを登録する
array stream_get_filters ();登録されているフィルタのリストを取得する
string stream_get_line ( resource handle , int length , string ending );指定されたデリミタの位置までのデータを一行分としてストリームから読み込む
array stream_get_meta_data ( resource stream );ヘッダーあるいはメタデータをストリームまたはファイルポインタから取得する
array stream_get_transports ();登録されたソケットのトランスポートの一覧を取得する
array stream_get_wrappers ();登録されているストリームのラッパのリストを取得する
int stream_select ( resource &read , resource &write , resource &except , int tv_sec , [ int tv_usec ] );select() システムコールと同等の操作を、ストリームの配列に対して tv_sec と tv_usec で指定されたタイムアウト時間をもって行う
bool stream_set_blocking ( resource stream , int mode );ストリームのブロックモードを有効にする / 解除する
bool stream_set_timeout ( resource stream , int seconds , int microseconds );ストリームにタイムアウトを設定する
int stream_set_write_buffer ( resource stream , int buffer );指定されたストリームのファイルバッファリングを有効にする
resource stream_socket_accept ( resource server_socket , [ int timeout ] , [ string &peername ] );stream_socket_server で作られたソケットの接続を受け入れる
resource stream_socket_client ( string remote_socket , [ int &errno ] , [ string &errstr ] , [ float timeout ] , [ int flags ] , [ resource context ] );インターネットドメインまたは Unix ドメインのソケット接続を開く
string stream_socket_get_name ( resource handle , boolean want_peer );ローカルまたはリモートのソケットの名前を取得する
resource stream_socket_server ( string local_socket , [ int &errno ] , [ string &errstr ] , [ int flags ] , [ resource context ] );インターネットドメインまたは Unix ドメインのサーバソケットを作成する
bool stream_wrapper_register ( string protocol , string classname );PHP のクラスとして実装された URL ラッパーを登録する
string addcslashes ( string str , string charlist );C言語と同様にスラッシュで文字列をクォートする
string addslashes ( string str );文字列をスラッシュでクォートする
string bin2hex ( string str );バイナリデータを16進表現に変換する
string chr ( int ascii );特定の文字を返す
string chunk_split ( string string , [ int chunklen ] , [ string end ] );文字列をより小さな部分に分割する
string convert_cyr_string ( string str , string from , string to );Cyrillic 文字コードを他のコードに変換する
mixed count_chars ( string string , int [mode] );文字列で使用されている文字に関する情報を返す
int crc32 ( string str );文字列の crc32 多項式計算を行う
string crypt ( string str , string [salt] );文字列の一方向の暗号化(ハッシュ化)を行う
void echo ( string arg1 , [ string argn... ] );1つ以上の文字列を出力する
array explode ( string separator , string string , [ int limit ] );文字列を文字列により分割する
string get_html_translation_table ( int table , [ int quote_style ] );htmlspecialchars およびhtmlentities で使用される変換テーブルを返す
array get_meta_tags ( string filename , int [use_include_path] );ファイルから全てのメタタグ属性を展開し、配列を返す
string hebrev ( string hebrew_text , [ int max_chars_per_line ] );Hebrew 論理テキストを可視テキストに変換
string hebrevc ( string hebrew_text , [ int max_chars_per_line ] );Hebrew 論理テキストを改行を変換して可視テキストに変換する
string htmlentities ( string string , int [quote_style] , string [charset] );適用可能な文字を全てHTMLエンティティに変換する
string htmlspecialchars ( string string , int [quote_style] , [ string charset ] );特殊文字をHTMLエンティティに変換する
string implode ( string glue , array pieces );配列要素を文字列により連結する
int levenshtein ( string str1 , string str2 );二つの文字列のLevenshtein距離を計算する
array localeconv ();数値に関するフォーマット情報を得る
string ltrim ( string str , [ string charlist ] );文字列の最初から空白文字を取り除く
string md5_file ( string filename );指定したファイルのMD5ハッシュ値を計算する
string md5 ( string str , [ bool raw_output ] );文字列のmd5ハッシュ値を計算する
string metaphone ( string str );文字列の metaphone キーを計算する
string nl_langinfo ( int item );言語及びロケール情報を検索する
string nl2br ( string string );改行文字の前にHTMLの改行指定文字を挿入する
int ord ( string string );文字のASCII値を返す
void parse_str ( string str , [ array arr ] );文字列を処理し、変数に代入する
print ( string arg );文字列を出力する
void printf ( string format , [ mixed args ] );フォーマット済みの文字列を出力する
string quoted_printable_decode ( string str );quoted-printable文字列を8ビット文字列に変換
string quotemeta ( string str );メタ文字をクォートする
string rtrim ( string str , [ string charlist ] );文字列の最後から空白文字を削除する
string setlocale ( mixed category , string locale );ロケール情報をセットする
string sha1_file ( string filename , [ bool raw_output ] );あるファイルのsha1ハッシュを計算する
string sha1 ( string str , [ bool raw_output ] );ある文字列のsha1ハッシュを計算する
int similar_text ( string first , string second , [ float percent ] );二つの文字列の間の類似性を見積もる
string soundex ( string str );文字列のsoundexキーを計算する
string sprintf ( string format , [ mixed args ] );フォーマットされた文字列を返す
mixed sscanf ( string str , string format , [ string var1 ] );フォーマット文字列に基づき入力を処理する
string str_pad ( string input , int pad_length , [ string pad_string ] , [ int pad_type ] );文字列を固定長の他の文字列で埋める
string str_repeat ( string input_str , int multiplier );文字列を反復する
mixed str_replace ( mixed search , mixed replace , mixed subject , [ int count ] );文字列 subject 中の文字列 search を全て文字列replaceに置換する
string str_rot13 ( string str );文字列にrot13変換を行う
string str_shuffle ( string str );文字列をランダムにシャッフルする
int strcasecmp ( string str1 , string str2 );大文字小文字を区別しないバイナリにも使用可能な文字列比較を行う
string strchr ( string haystack , string needle );文字が最初に現れるところを探す
int strcmp ( string str1 , string str2 );バイナリでも使える文字列比較
int strcoll ( string str1 , string str2 );ロケールに基づく文字列比較
int strcspn ( string str1 , string str2 );マスクにマッチしない最初のセグメントの長さを返す
string strip_tags ( string str , [ string allowable_tags ] );文字列からHTMLおよびPHPタグを取り除く
string stripcslashes ( string str );addcslashesでクォートされた文字列をアンクォートする
int stripos ( string haystack , string needle , [ int offset ] );大文字/小文字を区別せずに文字列が最初に現れる位置を探す
string stripslashes ( string str );addslashesでクォートされた文字列のクォート部分を取り除く
string stristr ( string haystack , string needle );大文字小文字を区別しない strstr
int strlen ( string string );文字列の長さを得る
int strnatcasecmp ( string str1 , string str2 );"自然順"アルゴリズムにより大文字小文字を区別しない文字列比較を行う
int strnatcmp ( string str1 , string str2 );"自然順"アルゴリズムにより文字列比較を行う
int strncasecmp ( string str1 , string str2 , int len );バイナリ対応の大文字小文字を区別しない文字列比較を最初のn文字について行う
int strncmp ( string str1 , string str2 , int len );最初のn文字についてバイナリ対応の文字列比較を行う
int strpos ( string haystack , string needle , [ int offset ] );文字列が最初に現れる場所を見つける
string strrchr ( string haystack , string needle );文字列中に文字が最後に現れる場所を取得する
string strrev ( string string );文字列を逆順にする
int strrpos ( string haystack , char needle );文字列中に、ある文字が最後に現れる場所を探す
int strspn ( string str1 , string str2 );マスクに一致する最初のセグメントの長さを返す
string strstr ( string haystack , string needle );文字列が最初に現れる位置を見つける
string strtok ( string arg1 , string arg2 );文字列をトークンに分割する
string strtolower ( string string );文字列を小文字にする
string strtoupper ( string string );文字列を大文字にする
string strtr ( string str , string from , string to );特定の文字を変換する
int substr_count ( string haystrack , string needle );副文字列の出現関数を数える
string substr_replace ( string string , string replacement , int start , int [length] );文字列の一部を置換する
string substr ( string string , int start , int [length] );文字列の一部分を返す
string trim ( string str , [ string charlist ] );文字列の先頭および末尾にあるホワイトスペースを取り除く
string ucfirst ( string str );文字列の最初の文字を大文字にする
string ucwords ( string str );文字列の各単語の最初の文字を大文字にする
void vprintf ( string format , array args );フォーマットされた文字列を出力する
string vsprintf ( string format , array args );フォーマットされた文字列を返す
string wordwrap ( string str , int [width] , string [break] , int [cut] );文字列分割文字を使用して指定した文字数数に文字列を分割する
void swf_actiongeturl ( string url , string target );Shockwave FlashムービーからURLを得る
void swf_actiongotoframe ( int framenumber );フレームを実行した後、停止する
void swf_actiongotolabel ( string label );指定したラベルを有するフレームを表示する
void swf_actionnextframe ();フレームを一つ進める
void swf_actionplay ();カレントのフレームからflashムービーの実行を開始する
void swf_actionprevframe ();フレームを一つ戻す
void swf_actionsettarget ( string target );アクションのコンテキストを設定する
void swf_actionstop ();カレントのフレームでflashムービーの実行を終了する
void swf_actiontogglequality ();クオリティのローとハイを切替える
void swf_actionwaitforframe ( int framenumber , int skipcount );フレームがロードされていない場合にアクションをスキップする
void swf_addbuttonrecord ( int states , int shapeid , int depth );カレントのボタンの位置、外観、アクティブエリアを制御する
void swf_addcolor ( float r , float g , float b , float a );グローバル加算色を指定したrbga値に設定する
void swf_closefile ( int [return_file] );カレントのShockwave Flashファイルを閉じる
void swf_definebitmap ( int objid , string image_name );ビットマップを定義する
void swf_definefont ( int fontid , string fontname );フォントを定義する
void swf_defineline ( int objid , float x1 , float y1 , float x2 , float y2 , float width );線を定義する
void swf_definepoly ( int objid , array coords , int npoints , float width );ポリゴンを定義する
void swf_definerect ( int objid , float x1 , float y1 , float x2 , float y2 , float width );長方形を定義する
void swf_definetext ( int objid , string str , int docenter );テキスト文字列を定義する
void swf_endbutton ();カレントのボタンの定義を終了する
void swf_enddoaction ();カレントのアクションを終了する
void swf_endshape ();カレントの形状の定義を完結する
void swf_endsymbol ();シンボルの定義を終了する
void swf_fontsize ( float size );フォントの大きさを変更する
void swf_fontslant ( float slant );フォントの傾きを設定する
void swf_fonttracking ( float tracking );カレントのフォントのトラッキングを設定する
array swf_getbitmapinfo ( int bitmapid );ビットマップに関する情報を得る
array swf_getfontinfo ();大文字のAと小文字のxの高さをピクセル単位で得る
int swf_getframe ();カレントのフレームのフレーム番号を得る
void swf_labelframe ( string name );カレントのフレームにラベルを付ける
void swf_lookat ( float view_x , float view_y , float view_z , float reference_x , float reference_y , float reference_z , float twist );視点変換を定義する
void swf_modifyobject ( int depth , int how );オブジェクトを修正する
void swf_mulcolor ( float r , float g , float b , float a );グローバル乗算色を指定したrbga値に設定する
int swf_nextid ();次の未使用のオブジェクトIDを返す
void swf_oncondition ( int transition );アクションリストのトリガとして使用されるトランジションを定義する
void swf_openfile ( string filename , float width , float height , float framerate , float r , float g , float b );新規にShockwave Flashファイルをオープンする
void swf_ortho ( float xmin , float xmax , float ymin , float ymax , float zmin , float zmax );カレントのビューポートにおけるユーザー座標の直交マッピングを定義する
void swf_ortho2 ( float xmin , float xmax , float ymin , float ymax );ユーザ座標の2D直交マッピングをカレントのビューポイントに定義する
void swf_perspective ( float fovy , float aspect , float near , float far );遠近法による投影変換を定義する
void swf_placeobject ( int objid , int depth );オブジェクトを画面に配置する
void swf_polarview ( float dist , float azimuth , float incidence , float twist );極座標で視点を定義する
void swf_popmatrix ();以前の変換行列を回復する
void swf_posround ( int round );オブジェクトを配置または移動する際の変換時の丸め処理を有効または無効にする
void swf_pushmatrix ();カレントの変換行列をスタックに入れる
void swf_removeobject ( int depth );オブジェクトを削除する
void swf_rotate ( float angle , string axis );カレントの座標を回転する
void swf_scale ( float x , float y , float z );カレントの変換をスケリーングする
void swf_setfont ( int fontid );カレントのフォントを変更する
void swf_setframe ( int framenumber );指定したフレームに切替える
void swf_shapearc ( float x , float y , float r , float ang1 , float ang2 );円弧を描画する
void swf_shapecurveto ( float x1 , float y1 , float x2 , float y2 );2点間に2次ベジエ曲線を描画する
void swf_shapecurveto3 ( float x1 , float y1 , float x2 , float y2 , float x3 , float y3 );3次ベジエ曲線を描画する
void swf_shapefillbitmapclip ( int bitmapid );カレントの塗りつぶしモードをクリップ付きビットマップ
void swf_shapefillbitmaptile ( int bitmapid );カレントの塗りつぶしモードをタイル状のビットマップに設定する
void swf_shapefilloff ();塗りつぶしをオフにする
void swf_shapefillsolid ( float r , float g , float b , float a );カレントの塗りつぶし色を指定した色に設定する
void swf_shapelinesolid ( float r , float g , float b , float a , float width );カレントの行のスタイルを設定する
void swf_shapelineto ( float x , float y );線を描画する
void swf_shapemoveto ( float x , float y );カレントの位置を移動する
void swf_showframe ();カレントのフレームを表示する
void swf_startbutton ( int objid , int type );ボタンの定義を開始する
void swf_startdoaction ();カレントのフレームのアクションリストの記述を開始する
void swf_startshape ( int objid );複雑な形状を開始する
void swf_startsymbol ( int objid );シンボルを定義する
float swf_textwidth ( string str );文字列の幅を得る
void swf_translate ( float x , float y , float z );カレントの座標軸を変換する
void swf_viewport ( float xmin , float xmax , float ymin , float ymax );描画を行う範囲を選択する
int sybase_affected_rows ( int [link_identifier] );直近のクエリーで変更された行の数を得る
bool sybase_close ( int link_identifier );Sybase 接続を閉じます
int sybase_connect ( string servername , string username , string password , [ string charset ] );Sybase サーバー接続をオープンします
bool sybase_data_seek ( int result_identifier , int row_number );内部行ポインタを移動します
array sybase_fetch_array ( int result );行を配列として取り込みます
object sybase_fetch_field ( int result , [ int field_offset ] );フィールド情報を得ます
int sybase_fetch_object ( int result );行をオブジェクトとして取り込みます
array sybase_fetch_row ( int result );行を配列として得ます
int sybase_field_seek ( int result , int field_offset );フィールドオフセットを設定します
bool sybase_free_result ( int result );結果メモリを開放します
string sybase_get_last_message ();サーバーから直近のメッセージを返す
void sybase_min_client_severity ( int severity );クライアントのseverityを最小に設定する
void sybase_min_error_severity ( int severity );エラーのseverityを最小に設定する
void sybase_min_message_severity ( int severity );メッセージのチェックを最小に設定する
void sybase_min_server_severity ( int severity );サーバーチェックを最小に設定する
int sybase_num_fields ( int result );結果におけるフィールドの数を得ます
int sybase_num_rows ( int result );結果における行の数を得ます
int sybase_pconnect ( string servername , string username , string password , [ string charset ] );Sybaseの持続的な接続をオープンします
int sybase_query ( string query , int link_identifier );Sybase クエリーを送信します
string sybase_result ( int result , int row , mixed field );結果データを得ます
bool sybase_select_db ( string database_name , int link_identifier );Sybase データベースを選択します
string ob_tidyhandler ( string input , [ int mode ] );バッファを修正するための ob_start コールバック関数
int tidy_access_count ( tidy object );指定したドキュメントについて発生したTidyアクセシビリティ警告の数を返す
bool tidy_clean_repair ( tidy object );パースされたマークアップに設定に基く誤りの修正を行う
int tidy_config_count ( tidy object );指定したドキュメントについて発生した Tidy 設定エラーの数を返す
tidy tidy::__construct ( [ string filename ] , [ mixed config ] , [ string encoding ] , [ bool use_include_path ] );新規 Tidy オブジェクトを生成する
bool tidy_diagnose ( tidy object );パース、修正されたマークアップの診断を行う
int tidy_error_count ( tidy object );指定したドキュメントについて発生した Tidy エラーの数を返す
tidyNode tidy_get_body ( tidy object );Tidy パースツリーの <body> タグから始まる tidyNodeオブジェクトを返す
array tidy_get_config ( tidy object );現在の Tidy の設定を取得する
string tidy_get_error_buffer ( tidy object );指定したドキュメントのパースで発生した警告とエラーを返す
tidyNode tidy_get_head ( tidy object );Tidy パースツリーの <head> タグから始まる tidyNodeオブジェクトを返す
int tidy_get_html_ver ( tidy object );指定したドキュメントで検出された HTML バージョンを取得する
tidyNode tidy_get_html ( tidy object );Tidy パースツリーの <html> タグから始まる tidyNodeオブジェクトを返す
string tidy_get_opt_doc ( tidy object , string optname );与えられたオプション名に対するドキュメントを返す
string tidy_get_output ( tidy object );パースされた Tidy マークアップを表す文字列を返す
string tidy_get_release ();Tidy ライブラリのリリース日 (バージョン) を取得する
tidyNode tidy_get_root ( tidy object );Tidy パースツリーのルートを表す tidyNode を返す
int tidy_get_status ( tidy object );指定したドキュメントのステータスを取得する
mixed tidy_getopt ( tidy object , string option );Tidy ドキュメントについて指定した設定オプションの値を返す
bool tidy_is_xhtml ( tidy object );ドキュメントが XHTML ドキュメントかどうかを示す
bool tidy_is_xml ( tidy object );ドキュメントが一般的な XML ドキュメント (非 HTML/XHTML) かどうかを示す
void tidy_load_config ( string filename , string encoding );指定したエンコーディングで ASCII コードの Tidy 設定ファイルをロードする
array tidy_node->children ();子ノードの配列を返す
tidy_attr tidy_node->get_attr ( int attrib_id );指定された属性 ID を持つ属性を返す
array tidy_node->get_nodes ( int node_id );指定された ID を持つノード以下のノードの配列を返す
tidy_node tidy_node->next ();このノードの次の兄弟を返す
tidy_node tidy_node->prev ();このノードの前の兄弟を返す
tidy tidy_parse_file ( string filename , [ mixed config ] , [ string encoding ] , [ bool use_include_path ] );ファイルまたは URI にあるマークアップをパースする
tidy tidy_parse_string ( string input , [ mixed config ] , [ string encoding ] );文字列にストアされたドキュメントをパースする
string tidy_repair_file ( string filename , [ mixed config ] , [ string encoding ] , [ bool use_include_path ] );ファイルを修正し、それを文字列として返す
string tidy_repair_string ( string data , [ mixed config ] , [ string encoding ] );別途提供される設定ファイルを使用して文字列を修正する
bool tidy_reset_config ();Tidy の設定をデフォルト値に戻す
bool tidy_save_config ( string filename );現在の設定を名前が付けられたファイルに保存する
bool tidy_set_encoding ( string encoding );マークアップをパースする際の入力／出力エンコーディングを設定する
bool tidy_setopt ( string option , mixed value );指定した Tidy ドキュメントについての設定を更新する
int tidy_warning_count ( tidy object );指定したドキュメントについて発生した Tidy 警告の数を返す
bool tidyNode->hasChildren ();このノードが子を持つ場合 true を返す
bool tidyNode->hasSiblings ();このノードが兄弟ノードを持つ場合 true を返す
bool tidyNode->isAsp ();このノードが ASP コードの場合 true を返す
bool tidyNode->isComment ();このノードがコメントである場合 true を返す
bool tidyNode->isHtml ();このノードが HTML ドキュメントの場合 true を返す
bool tidyNode->isJste ();このノードが JSTE であるの場合 true を返す
bool tidyNode->isPhp ();このノードが PHP コードの場合 true を返す
bool tidyNode->isText ();このノードがテキスト (マークアップでない) の場合 true を返す
array token_get_all ( string source );指定したソースをPHPトークンに分割する
string token_name ( int token );指定したPHPトークンのシンボル名を取得する
int odbc_autocommit ( int connection_id , int [OnOff] );autocommitの動作をオンまたはオフにします
int odbc_binmode ( int result_id , int mode );バイナリカラムデータを処理する
void odbc_close_all ();全てのODBC接続を閉じます
void odbc_close ( int connection_identifier );ODBC 接続を閉じます
int odbc_columnprivileges ( int connection_id , string [qualifier] , string [owner] , string [table_name] , string [column_name] );カラムおよび付随する権限のリストを取得する際に使用する結果IDを返す
int odbc_columns ( int connection_id , string [qualifier] , string [owner] , string [table_name] , string [column_name] );指定したテーブルにあるカラム名のリストを取得し、その情報を有する結果IDを返す
int odbc_commit ( int connection_id );ODBCトランザクションをコミットします
int odbc_connect ( string dsn , string user , string password , int [cursor_type] );データソースに接続します
string odbc_cursor ( int result_id );カーソル名を得ます
int odbc_do ( int conn_id , string query );odbc_execの同義語
string odbc_error ( [ int connection_id ] );直近のエラーコードを得る
string odbc_errormsg ( [ int connection_id ] );直近のエラーメッセージを得る
int odbc_exec ( int connection_id , string query_string );SQL文を準備し、実行します
int odbc_execute ( int result_id , array [parameters_array] );準備された文を実行します
array odbc_fetch_array ( int result , [ int rownumber ] );連想配列として結果の行を取得する
bool odbc_fetch_into ( resource result_id , [ int rownumber ] , array result_array );1行文の結果を配列に取り込みます
object odbc_fetch_object ( int result , [ int rownumber ] );オブジェクトとして結果の行を取得する
bool odbc_fetch_row ( resource result_id , [ int row_number ] );行を取り込みます
string odbc_field_len ( int result_id , int field_number );フィールドの長さを得る
string odbc_field_name ( int result_id , int field_number );カラム名を得ます
int odbc_field_num ( int result_id , string field_name );カラム番号を返します
string odbc_field_precision ( int result_id , int field_number );odbc_field_lenの同義語
string odbc_field_scale ( int result_id , int field_number );フィールドの精度を得る
int odbc_field_type ( int result_id , int field_number );フィールドのデータ型を返します
int odbc_foreignkeys ( int connection_id , string pk_qualifier , string pk_owner , string pk_table , string fk_qualifier , string fk_owner , string fk_table );指定したテーブルの外部キーのリストまたは指定したテーブルの主キーを参照する他のテーブル外部キーのリストを返す
int odbc_free_result ( int result_id );結果を保持するリソースを開放します
int odbc_gettypeinfo ( int connection_id , int [data_type] );データソースによりサポートされるデータ型に関する情報を有する結果IDを返す
int odbc_longreadlen ( int result_id , int length );LONGカラムを処理します
bool odbc_next_result ( int result_id );複数の結果が利用可能などうか確認する
int odbc_num_fields ( int result_id );結果のカラム数を返します
int odbc_num_rows ( int result_id );結果における行数を返します
int odbc_pconnect ( string dsn , string user , string password , int [cursor_type] );持続的なデータベース接続を開きます
int odbc_prepare ( int connection_identifier , string query_string );実行用に文を準備します
int odbc_primarykeys ( int connection_id , string qualifier , string owner , string table );テーブルの主キーを有するカラムの名前を取得する際に使用可能な結果IDを返す
int odbc_procedurecolumns ( int connection_id , string [qualifier] , string [owner] , string [proc] , string [column] );プロシージャへのパラメータに関する情報を取得する
int odbc_procedures ( int connection_id , string [qualifier] , string [owner] , string [name] );指定したデータソースに保存されているプロシージャのリストを取得し、その情報を有する結果IDを返す
